NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4411, Alameda County, California",4246,85316,1275,614800,696,243,94,158,2226,200,06,001,441100
"Census Tract 4416.02, Alameda County, California",8002,90595,1641,496800,1041,641,41,57,4165,175,06,001,441602
"Census Tract 4515.01, Alameda County, California",4686,82596,979,670000,744,340,65,217,2374,120,06,001,451501
"Census Tract 4036, Alameda County, California",4484,63068,1205,357400,1343,679,59,162,3151,222,06,001,403600
"Census Tract 4050, Alameda County, California",3364,118207,1450,666600,919,662,138,103,2047,117,06,001,405000
"Census Tract 4004, Alameda County, California",4105,102386,1522,817700,980,957,277,313,2704,90,06,001,400400
"Census Tract 4033, Alameda County, California",4118,57064,1469,338300,1058,328,85,126,2711,242,06,001,403300
"Census Tract 4013, Alameda County, California",4018,36788,937,506900,728,293,65,79,2484,385,06,001,401300
"Census Tract 4088, Alameda County, California",6370,27625,749,128800,87,34,0,0,2647,531,06,001,408800
"Census Tract 4030, Alameda County, California",2704,17609,517,344700,446,84,9,35,1158,146,06,001,403000
"Census Tract 4091, Alameda County, California",2217,35431,1451,193900,100,10,0,0,897,113,06,001,409100
"Census Tract 4094, Alameda County, California",4581,37264,1224,289900,134,106,24,8,1916,289,06,001,409400
"Census Tract 4103, Alameda County, California",3381,35960,1151,171800,101,33,4,0,1696,312,06,001,410300
"Census Tract 4203, Alameda County, California",4564,85119,1605,552300,1145,654,272,283,2625,75,06,001,420300
"Census Tract 4232, Alameda County, California",2808,53804,1279,648700,676,221,67,116,1695,186,06,001,423200
"Census Tract 4233, Alameda County, California",4063,72500,1225,567000,683,454,69,134,2131,206,06,001,423300
"Census Tract 4236.01, Alameda County, California",2744,69398,1466,661800,806,351,162,148,1624,132,06,001,423601
"Census Tract 4277, Alameda County, California",4979,78497,1433,601200,1423,351,93,82,3290,138,06,001,427700
"Census Tract 4506.02, Alameda County, California",9625,133784,1954,729500,2447,1100,245,68,4391,264,06,001,450602
"Census Tract 4430.01, Alameda County, California",2897,91979,2107,480900,397,145,2,8,1640,75,06,001,443001
"Census Tract 4502, Alameda County, California",5103,94844,1826,532800,1347,581,51,94,3305,144,06,001,450200
"Census Tract 4278, Alameda County, California",5143,96222,1392,724200,1204,734,151,173,2802,142,06,001,427800
"Census Tract 4283.01, Alameda County, California",6584,101633,2013,576700,1511,817,177,108,3348,169,06,001,428301
"Census Tract 4330, Alameda County, California",3833,71917,1628,380900,621,163,48,31,2076,211,06,001,433000
"Census Tract 4332, Alameda County, California",7375,52460,1195,368300,901,209,36,0,4159,306,06,001,433200
