NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 5724, Los Angeles County, California",1218,49688,1689,375400,115,25,0,6,500,62,06,037,572400
"Census Tract 5728, Los Angeles County, California",1041,20234,786,-666666666,23,0,0,0,370,128,06,037,572800
"Census Tract 5732.01, Los Angeles County, California",4937,27388,914,374700,221,40,0,0,2069,279,06,037,573201
"Census Tract 5733, Los Angeles County, California",4382,30444,1054,339900,116,36,18,0,1713,301,06,037,573300
"Census Tract 2182.10, Los Angeles County, California",3991,33988,1120,433600,158,50,0,22,2082,198,06,037,218210
"Census Tract 2186, Los Angeles County, California",3440,41959,1216,397000,253,93,33,0,1707,173,06,037,218600
"Census Tract 2189, Los Angeles County, California",5828,32117,1043,518800,515,158,12,48,2911,256,06,037,218900
"Census Tract 2193, Los Angeles County, California",4433,27303,1053,371500,301,9,16,10,2157,220,06,037,219300
"Census Tract 2716, Los Angeles County, California",4522,73269,1702,1030400,1268,691,213,323,2280,181,06,037,271600
"Census Tract 4630, Los Angeles County, California",2158,108828,1781,776900,551,316,83,70,1224,85,06,037,463000
"Census Tract 2933.02, Los Angeles County, California",5498,61964,1316,405100,785,138,51,27,2829,254,06,037,293302
"Census Tract 4605.02, Los Angeles County, California",4523,140000,2266,1074700,1091,554,299,214,2291,98,06,037,460502
"Census Tract 1957.10, Los Angeles County, California",4784,42598,1009,477800,402,164,54,12,2490,362,06,037,195710
"Census Tract 1395.02, Los Angeles County, California",3036,62009,1454,587200,900,317,160,63,1586,70,06,037,139502
"Census Tract 1433, Los Angeles County, California",6848,72417,1402,681000,1910,385,224,28,4227,282,06,037,143300
"Census Tract 2119.10, Los Angeles County, California",4749,39408,1072,229500,430,73,8,0,2948,318,06,037,211910
"Census Tract 2132.01, Los Angeles County, California",4554,30463,1000,351900,687,130,0,16,2307,322,06,037,213201
"Census Tract 8003.24, Los Angeles County, California",6414,126267,2541,628900,1490,628,242,99,3900,268,06,037,800324
"Census Tract 8003.26, Los Angeles County, California",5129,118347,2130,993200,1243,823,222,189,2693,196,06,037,800326
"Census Tract 7018.01, Los Angeles County, California",5965,48438,1376,685300,1041,282,175,99,3392,450,06,037,701801
"Census Tract 7026, Los Angeles County, California",5979,85571,1822,759600,1422,530,152,73,3285,334,06,037,702600
"Census Tract 7032, Los Angeles County, California",6124,91768,1377,534300,967,954,267,97,3096,390,06,037,703200
"Census Tract 8003.25, Los Angeles County, California",3454,96324,1926,739100,921,373,136,102,1690,121,06,037,800325
"Census Tract 9001.02, Los Angeles County, California",691,20326,880,118800,13,4,0,0,137,34,06,037,900102
"Census Tract 9005.01, Los Angeles County, California",6429,38750,1243,126000,238,43,9,0,2525,326,06,037,900501
"Census Tract 9012.05, Los Angeles County, California",11642,79816,886,255300,982,465,65,64,5204,279,06,037,901205
"Census Tract 9106.02, Los Angeles County, California",3966,26594,960,78200,259,8,0,0,1444,287,06,037,910602
"Census Tract 9203.14, Los Angeles County, California",2944,120600,1493,473000,536,189,38,40,1758,99,06,037,920314
"Census Tract 9200.36, Los Angeles County, California",3344,79625,1202,353300,259,58,12,0,1741,157,06,037,920036
"Census Tract 9203.13, Los Angeles County, California",5598,92461,1362,417000,806,392,42,97,2840,195,06,037,920313
"Census Tract 9203.34, Los Angeles County, California",6263,72131,1412,409600,1298,386,109,38,2999,265,06,037,920334
"Census Tract 1031.01, Los Angeles County, California",2798,73043,1303,431000,367,123,18,15,1539,149,06,037,103101
"Census Tract 1042.01, Los Angeles County, California",4879,49223,1944,318800,95,10,0,0,2284,285,06,037,104201
"Census Tract 1043.20, Los Angeles County, California",5321,43246,863,285400,179,59,0,13,2874,588,06,037,104320
"Census Tract 1046.20, Los Angeles County, California",3422,51629,1236,277800,50,19,0,0,1595,199,06,037,104620
"Census Tract 1047.01, Los Angeles County, California",3915,26190,818,273600,100,17,0,11,1535,329,06,037,104701
"Census Tract 4084.01, Los Angeles County, California",4577,68920,1395,364500,567,102,45,16,2082,191,06,037,408401
"Census Tract 4084.02, Los Angeles County, California",5363,85625,1844,552500,770,357,72,105,2405,224,06,037,408402
"Census Tract 4306, Los Angeles County, California",4312,119526,2250,1219100,831,464,285,73,2000,73,06,037,430600
"Census Tract 4312, Los Angeles County, California",6091,57282,1412,364500,352,93,19,26,3274,305,06,037,431200
"Census Tract 4324.02, Los Angeles County, California",7000,37005,1093,377400,257,68,42,0,3110,277,06,037,432402
"Census Tract 1242.03, Los Angeles County, California",2693,38147,1206,370300,139,26,13,0,1576,158,06,037,124203
"Census Tract 1242.04, Los Angeles County, California",3097,35127,1116,490000,287,88,0,8,1791,197,06,037,124204
"Census Tract 1249.02, Los Angeles County, California",2993,41060,1172,439100,593,174,54,37,1630,179,06,037,124902
"Census Tract 1249.03, Los Angeles County, California",3211,41286,1322,383000,822,169,40,18,2025,326,06,037,124903
"Census Tract 1254.01, Los Angeles County, California",3838,56894,1385,312400,1103,273,24,100,3100,343,06,037,125401
"Census Tract 1254.02, Los Angeles County, California",4030,61616,1452,456400,1346,191,144,20,3150,297,06,037,125402
"Census Tract 1255.01, Los Angeles County, California",3282,51037,1299,454100,678,328,5,16,2326,192,06,037,125501
"Census Tract 1255.02, Los Angeles County, California",3543,39107,1353,493900,978,227,34,26,2648,394,06,037,125502
"Census Tract 1271.03, Los Angeles County, California",3343,38279,1029,,433,18,0,0,1724,132,06,037,127103
"Census Tract 1271.04, Los Angeles County, California",3880,39853,1160,365400,363,115,15,15,2328,507,06,037,127104
"Census Tract 1276.03, Los Angeles County, California",3022,46313,1133,400000,212,27,5,0,1565,214,06,037,127603
"Census Tract 1276.04, Los Angeles County, California",2782,30288,1045,337500,405,100,72,0,1416,86,06,037,127604
"Census Tract 1276.05, Los Angeles County, California",4120,42230,1203,459100,327,31,51,0,2255,200,06,037,127605
"Census Tract 1277.11, Los Angeles County, California",3737,63523,1123,468200,701,86,34,6,2183,173,06,037,127711
"Census Tract 1276.06, Los Angeles County, California",3833,52188,1161,356900,381,87,19,19,2051,188,06,037,127606
"Census Tract 1277.12, Los Angeles County, California",2883,31424,1016,465300,288,109,21,12,1594,138,06,037,127712
"Census Tract 1278.03, Los Angeles County, California",4033,35000,968,422400,363,46,11,51,2108,233,06,037,127803
"Census Tract 1278.04, Los Angeles County, California",4154,40136,1038,350000,446,209,85,0,2340,297,06,037,127804
"Census Tract 1278.05, Los Angeles County, California",4224,35750,993,402200,476,11,0,59,2181,205,06,037,127805
"Census Tract 1278.06, Los Angeles County, California",3223,33178,959,383300,372,56,19,0,2001,288,06,037,127806
"Census Tract 1281.01, Los Angeles County, California",3311,48603,1190,435600,426,167,57,18,1957,194,06,037,128101
"Census Tract 9800.13, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980013
"Census Tract 9800.14, Los Angeles County, California",70,-666666666,-666666666,-666666666,0,0,0,0,13,13,06,037,980014
"Census Tract 9800.15, Los Angeles County, California",347,51042,959,-666666666,6,2,1,1,171,36,06,037,980015
"Census Tract 9800.18, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980018
"Census Tract 9800.19, Los Angeles County, California",214,146875,-666666666,643800,20,43,25,0,106,10,06,037,980019
"Census Tract 9800.20, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980020
"Census Tract 9800.21, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980021
"Census Tract 9800.22, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980022
"Census Tract 9800.23, Los Angeles County, California",10,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980023
"Census Tract 9800.25, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980025
"Census Tract 9800.30, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980030
"Census Tract 9800.31, Los Angeles County, California",1035,-666666666,-666666666,-666666666,117,0,18,0,25,0,06,037,980031
"Census Tract 9800.33, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980033
"Census Tract 9800.26, Los Angeles County, California",44,-666666666,-666666666,-666666666,4,8,0,0,12,0,06,037,980026
"Census Tract 9800.28, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,980028
"Census Tract 9901, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,990100
"Census Tract 9903, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,990300
"Census Tract 1412.02, Los Angeles County, California",2860,75040,1785,855300,890,353,244,29,1611,182,06,037,141202
"Census Tract 1413.03, Los Angeles County, California",3168,67778,1539,409800,1000,331,126,66,2178,298,06,037,141303
"Census Tract 2640, Los Angeles County, California",3124,204432,2205,2000001,1029,464,388,123,1560,91,06,037,264000
"Census Tract 2653.04, Los Angeles County, California",3454,16958,1435,-666666666,182,163,69,42,1875,144,06,037,265304
"Census Tract 2654.10, Los Angeles County, California",1418,96875,1707,1208600,334,230,138,80,757,57,06,037,265410
"Census Tract 2691, Los Angeles County, California",4019,81076,1911,949200,1067,376,324,61,2286,145,06,037,269100
"Census Tract 2697, Los Angeles County, California",3822,66078,1238,671800,708,443,100,100,2488,206,06,037,269700
"Census Tract 2703, Los Angeles County, California",2495,62250,1262,634000,418,150,72,33,1521,151,06,037,270300
"Census Tract 2717.02, Los Angeles County, California",4344,57473,1564,548000,1007,673,245,375,2590,94,06,037,271702
"Census Tract 2737, Los Angeles County, California",2800,76905,1498,996300,746,304,74,55,1788,124,06,037,273700
"Census Tract 2753.02, Los Angeles County, California",4801,86469,2220,674100,1563,635,195,159,2712,244,06,037,275302
"Census Tract 2933.01, Los Angeles County, California",2900,62663,1528,470900,617,104,22,0,1569,122,06,037,293301
"Census Tract 2011.20, Los Angeles County, California",4176,37797,1110,366200,279,96,0,0,2371,398,06,037,201120
"Census Tract 2328, Los Angeles County, California",4052,30161,1032,266400,97,16,0,0,1811,185,06,037,232800
"Census Tract 2346, Los Angeles County, California",5060,35208,961,372900,421,87,0,7,2732,500,06,037,234600
"Census Tract 2379, Los Angeles County, California",3988,38850,1325,285000,368,59,17,11,1638,373,06,037,237900
"Census Tract 8003.30, Los Angeles County, California",1077,119199,2321,828900,226,122,40,27,611,68,06,037,800330
"Census Tract 1048.10, Los Angeles County, California",5798,65167,1509,299500,169,16,33,0,2812,219,06,037,104810
"Census Tract 1061.12, Los Angeles County, California",6009,71643,1819,349700,650,127,66,10,2811,246,06,037,106112
"Census Tract 1061.13, Los Angeles County, California",3455,68661,1250,363000,404,73,12,3,1636,87,06,037,106113
"Census Tract 2675.01, Los Angeles County, California",6602,66185,1451,607300,1730,611,232,143,4442,198,06,037,267501
"Census Tract 9200.31, Los Angeles County, California",5279,55479,1500,274300,862,132,115,12,2401,154,06,037,920031
"Census Tract 9104.01, Los Angeles County, California",6828,74384,1282,218900,727,438,85,91,3281,468,06,037,910401
"Census Tract 9108.04, Los Angeles County, California",2893,87159,-666666666,452800,268,69,31,45,1589,224,06,037,910804
"Census Tract 9200.18, Los Angeles County, California",2341,92250,2202,396200,289,87,24,7,1287,96,06,037,920018
"Census Tract 6012.02, Los Angeles County, California",3915,42038,1000,334500,156,51,39,0,1855,179,06,037,601202
"Census Tract 6018.02, Los Angeles County, California",4111,36760,929,323000,78,53,15,0,1990,204,06,037,601802
"Census Tract 6019, Los Angeles County, California",5319,34195,1054,312100,222,12,0,0,2291,353,06,037,601900
"Census Tract 6023.02, Los Angeles County, California",3819,120588,2445,615500,1044,433,59,61,2063,137,06,037,602302
"Census Tract 6024.02, Los Angeles County, California",6397,50680,1250,439300,471,126,70,20,3030,283,06,037,602402
"Census Tract 7015.02, Los Angeles County, California",4130,78603,1548,620800,1252,556,72,157,2592,195,06,037,701502
"Census Tract 5436.01, Los Angeles County, California",4135,85417,1381,314100,558,166,13,5,2175,308,06,037,543601
"Census Tract 9902, Los Angeles County, California",0,-666666666,-666666666,-666666666,0,0,0,0,0,0,06,037,990200
"Census Tract 1908.02, Los Angeles County, California",2700,32468,1077,494000,570,98,66,19,1815,136,06,037,190802
"Census Tract 1913.01, Los Angeles County, California",2505,38750,1125,419200,501,150,17,28,1458,102,06,037,191301
"Census Tract 1913.02, Los Angeles County, California",2405,37097,1052,597000,390,80,106,0,1414,141,06,037,191302
"Census Tract 1919.01, Los Angeles County, California",3522,49938,1385,580400,822,236,57,19,2582,320,06,037,191901
"Census Tract 1919.02, Los Angeles County, California",3014,82550,1491,782500,969,364,179,30,1902,160,06,037,191902
"Census Tract 1920.01, Los Angeles County, California",2470,58103,1342,864000,773,228,118,24,1501,112,06,037,192001
"Census Tract 1920.02, Los Angeles County, California",2607,93750,1737,755000,1005,178,156,34,1929,147,06,037,192002
"Census Tract 1941.01, Los Angeles County, California",3148,78869,1493,1304100,1300,351,80,27,2324,170,06,037,194101
"Census Tract 1941.02, Los Angeles County, California",3797,143635,2012,1271900,1077,402,320,121,2372,185,06,037,194102
"Census Tract 1944.01, Los Angeles County, California",2464,73750,1449,1015600,853,264,103,8,1732,57,06,037,194401
"Census Tract 1944.02, Los Angeles County, California",3296,82601,1745,797100,1262,433,91,108,2667,197,06,037,194402
"Census Tract 1952.01, Los Angeles County, California",3015,71778,1445,870600,1088,383,99,38,2080,175,06,037,195201
"Census Tract 1952.02, Los Angeles County, California",3448,103750,1982,856800,1096,435,137,60,2259,104,06,037,195202
"Census Tract 1958.03, Los Angeles County, California",2983,63902,1201,605000,662,261,32,58,1882,175,06,037,195803
"Census Tract 1958.04, Los Angeles County, California",2442,39063,1136,579800,535,58,45,28,1603,196,06,037,195804
"Census Tract 1959.01, Los Angeles County, California",2307,55250,1299,574100,842,100,0,39,1535,162,06,037,195901
"Census Tract 1959.02, Los Angeles County, California",2017,58068,1402,608300,731,189,23,18,1401,113,06,037,195902
"Census Tract 1959.03, Los Angeles County, California",2316,51042,1017,580700,477,147,25,4,1452,149,06,037,195903
"Census Tract 2060.31, Los Angeles County, California",3124,82684,2185,476200,1230,434,165,13,2419,131,06,037,206031
"Census Tract 2016.01, Los Angeles County, California",2240,52353,1029,374500,169,42,8,0,1114,131,06,037,201601
"Census Tract 2016.02, Los Angeles County, California",2905,69375,1167,346100,176,61,12,0,1627,183,06,037,201602
"Census Tract 2060.32, Los Angeles County, California",5133,26094,796,328600,309,40,8,10,2261,185,06,037,206032
"Census Tract 2071.01, Los Angeles County, California",3137,37188,1596,300000,563,133,139,0,1413,84,06,037,207101
"Census Tract 2071.02, Los Angeles County, California",2239,17689,657,534100,169,25,20,0,831,80,06,037,207102
"Census Tract 2071.03, Los Angeles County, California",2253,20417,902,461900,145,46,0,4,847,75,06,037,207103
"Census Tract 2073.01, Los Angeles County, California",4686,31864,872,373300,1578,319,244,131,3040,345,06,037,207301
"Census Tract 2073.02, Los Angeles County, California",4243,38438,1617,393300,1284,620,88,58,3178,266,06,037,207302
"Census Tract 2075.01, Los Angeles County, California",2128,63598,1710,366500,903,240,170,93,1580,0,06,037,207501
"Census Tract 2075.02, Los Angeles County, California",2504,14639,427,-666666666,740,304,92,15,1113,49,06,037,207502
"Census Tract 2083.01, Los Angeles County, California",2213,35960,1065,,84,0,0,0,1168,183,06,037,208301
"Census Tract 2083.02, Los Angeles County, California",4417,32224,867,437100,423,16,0,0,2315,434,06,037,208302
"Census Tract 2012, Los Angeles County, California",2660,40851,1055,360200,119,21,10,0,1413,240,06,037,201200
"Census Tract 2015.01, Los Angeles County, California",5406,42235,1056,364900,225,48,59,30,2849,426,06,037,201501
"Census Tract 2017, Los Angeles County, California",5866,55000,1145,328900,562,159,13,27,3053,491,06,037,201700
"Census Tract 2033, Los Angeles County, California",2095,29583,1017,377500,103,24,6,0,651,28,06,037,203300
"Census Tract 2060.20, Los Angeles County, California",7579,83333,2054,-666666666,252,93,27,26,346,16,06,037,206020
"Census Tract 2086.10, Los Angeles County, California",4261,35682,1027,284500,740,51,74,0,2331,385,06,037,208610
"Census Tract 2086.20, Los Angeles County, California",4530,35918,1019,448000,829,156,19,22,2431,409,06,037,208620
"Census Tract 2091.02, Los Angeles County, California",4787,17869,778,362800,336,62,0,0,2260,144,06,037,209102
"Census Tract 2117.01, Los Angeles County, California",3008,61042,1688,,832,239,205,82,1672,112,06,037,211701
"Census Tract 1352.01, Los Angeles County, California",2783,89583,2193,584500,554,206,50,53,1370,74,06,037,135201
"Census Tract 1370, Los Angeles County, California",4797,106458,1983,682100,1189,504,154,54,2451,125,06,037,137000
"Census Tract 1375.01, Los Angeles County, California",4062,80481,1685,889100,967,358,120,72,2054,153,06,037,137501
"Census Tract 6510.02, Los Angeles County, California",4898,86000,1435,680800,1333,324,121,77,2693,124,06,037,651002
"Census Tract 6512.01, Los Angeles County, California",4739,124028,2556,765800,1264,423,96,43,2747,121,06,037,651201
"Census Tract 6512.21, Los Angeles County, California",3318,53333,1245,728300,794,309,54,9,1745,168,06,037,651221
"Census Tract 6704.03, Los Angeles County, California",2663,133750,3501,974000,765,419,97,76,1068,76,06,037,670403
"Census Tract 6704.13, Los Angeles County, California",4902,138875,3129,958300,1147,879,430,154,2137,97,06,037,670413
"Census Tract 6707.01, Los Angeles County, California",7067,100783,1316,662900,1454,836,199,133,3541,183,06,037,670701
"Census Tract 7003, Los Angeles County, California",5679,77313,1498,540700,2693,529,161,157,4613,350,06,037,700300
"Census Tract 7015.01, Los Angeles County, California",4842,87872,1667,732500,1742,714,267,180,3480,288,06,037,701501
"Census Tract 7017.01, Los Angeles County, California",3578,71217,1479,635000,971,373,133,105,2309,238,06,037,701701
"Census Tract 7022.01, Los Angeles County, California",4983,76806,1652,1009500,1240,503,145,83,3372,228,06,037,702201
"Census Tract 7027, Los Angeles County, California",3804,120347,1458,817100,742,520,172,99,2023,71,06,037,702700
"Census Tract 7028.01, Los Angeles County, California",5629,58351,1453,689500,966,429,216,68,2889,182,06,037,702801
"Census Tract 7030.01, Los Angeles County, California",5885,77551,1806,366400,1374,1306,99,101,3979,347,06,037,703001
"Census Tract 9005.04, Los Angeles County, California",6294,61778,1188,188600,345,175,7,17,2727,322,06,037,900504
"Census Tract 9006.02, Los Angeles County, California",5664,33895,805,42400,76,11,0,13,1961,338,06,037,900602
"Census Tract 9007.03, Los Angeles County, California",3729,25795,876,114300,229,74,40,17,1482,161,06,037,900703
"Census Tract 9102.01, Los Angeles County, California",3633,53802,1375,181300,128,157,43,0,1624,247,06,037,910201
"Census Tract 2132.02, Los Angeles County, California",3987,32143,978,549200,394,7,26,0,2205,277,06,037,213202
"Census Tract 2141, Los Angeles County, California",4257,103523,2369,1795800,1130,319,297,21,2314,121,06,037,214100
"Census Tract 2171, Los Angeles County, California",5685,58235,1262,710000,1048,465,50,134,3620,300,06,037,217100
"Census Tract 2183, Los Angeles County, California",5781,37961,1174,477600,570,92,60,14,2936,457,06,037,218300
"Census Tract 2184, Los Angeles County, California",4290,30920,1135,440900,250,195,9,9,1838,190,06,037,218400
"Census Tract 2197, Los Angeles County, California",4180,49826,1111,345600,504,121,0,13,2546,257,06,037,219700
"Census Tract 2200, Los Angeles County, California",5754,38226,1077,350900,514,144,32,6,3176,296,06,037,220000
"Census Tract 5543.02, Los Angeles County, California",3766,46500,1358,332500,224,43,0,0,1947,303,06,037,554302
"Census Tract 5544.05, Los Angeles County, California",3082,36481,1089,482100,304,22,23,0,1484,156,06,037,554405
"Census Tract 5544.06, Los Angeles County, California",4756,63603,1290,395900,845,167,67,22,2492,115,06,037,554406
"Census Tract 5704.03, Los Angeles County, California",5463,41726,942,257500,103,54,8,0,2408,403,06,037,570403
"Census Tract 5717.03, Los Angeles County, California",3876,33021,941,316900,195,10,18,0,1573,256,06,037,571703
"Census Tract 5717.04, Los Angeles County, California",3816,40044,1006,254500,133,22,0,18,1742,247,06,037,571704
"Census Tract 5704.04, Los Angeles County, California",3347,49680,1108,297900,194,49,4,0,1657,241,06,037,570404
"Census Tract 5715.03, Los Angeles County, California",4200,76555,1358,410100,529,89,56,128,2433,239,06,037,571503
"Census Tract 5715.04, Los Angeles County, California",4717,60816,1096,460000,598,223,30,0,2724,286,06,037,571504
"Census Tract 4086.26, Los Angeles County, California",4606,62375,1473,622600,1384,318,103,34,2246,115,06,037,408626
"Census Tract 4318, Los Angeles County, California",5788,62299,1414,608700,1114,474,70,108,2705,249,06,037,431800
"Census Tract 4603.02, Los Angeles County, California",4483,81533,1392,437900,578,276,19,33,2492,300,06,037,460302
"Census Tract 4637, Los Angeles County, California",2759,117875,2413,794600,767,404,302,115,1780,117,06,037,463700
"Census Tract 4002.05, Los Angeles County, California",3284,168983,2413,984700,650,327,302,203,1464,98,06,037,400205
"Census Tract 4024.04, Los Angeles County, California",2042,-666666666,-666666666,-666666666,16,9,0,0,894,279,06,037,402404
"Census Tract 1081.04, Los Angeles County, California",1974,110417,3267,639700,489,224,98,28,921,31,06,037,108104
"Census Tract 4066.02, Los Angeles County, California",5717,69797,1475,405400,402,84,32,9,2675,319,06,037,406602
"Census Tract 4073.01, Los Angeles County, California",4779,63382,1452,327900,229,7,1,4,2402,136,06,037,407301
"Census Tract 4077.02, Los Angeles County, California",6837,66036,1452,343900,454,258,28,9,3376,307,06,037,407702
"Census Tract 1232.06, Los Angeles County, California",2876,33804,1078,329400,112,41,9,9,1487,155,06,037,123206
"Census Tract 1233.01, Los Angeles County, California",4499,56823,1216,343000,698,157,9,27,2680,232,06,037,123301
"Census Tract 5343.02, Los Angeles County, California",3980,42465,1194,328900,85,0,0,0,1770,262,06,037,534302
"Census Tract 9200.29, Los Angeles County, California",3454,66920,1418,282300,324,128,11,11,1970,267,06,037,920029
"Census Tract 9200.40, Los Angeles County, California",3529,89450,1805,453500,527,135,30,32,1761,274,06,037,920040
"Census Tract 9200.43, Los Angeles County, California",6233,124000,2073,503700,1238,359,195,31,3108,247,06,037,920043
"Census Tract 9201.04, Los Angeles County, California",2996,115000,1688,435400,344,99,46,5,1637,114,06,037,920104
"Census Tract 5348.02, Los Angeles County, California",3090,43472,1072,326500,86,16,0,0,1534,143,06,037,534802
"Census Tract 5348.04, Los Angeles County, California",3838,39939,1003,261100,73,42,5,0,1694,158,06,037,534804
"Census Tract 5352, Los Angeles County, California",5883,36071,1204,253700,121,17,45,9,2677,415,06,037,535200
"Census Tract 5353, Los Angeles County, California",6021,31354,981,278300,29,23,9,0,2436,341,06,037,535300
"Census Tract 5357.02, Los Angeles County, California",4492,33342,1002,350500,90,21,0,24,2506,551,06,037,535702
"Census Tract 5358.03, Los Angeles County, California",4517,39102,1033,318000,156,20,0,15,2041,239,06,037,535803
"Census Tract 5359.01, Los Angeles County, California",5653,51949,1142,321700,361,36,16,0,2780,449,06,037,535901
"Census Tract 5416.03, Los Angeles County, California",3346,30183,926,243900,24,4,0,0,1339,293,06,037,541603
"Census Tract 5704.02, Los Angeles County, California",3421,58421,1326,321100,223,64,29,7,1719,246,06,037,570402
"Census Tract 5720.01, Los Angeles County, California",5419,85263,1348,547900,1074,519,115,89,3302,288,06,037,572001
"Census Tract 4071.01, Los Angeles County, California",4831,49911,959,310500,249,45,5,0,2387,128,06,037,407101
"Census Tract 4004.02, Los Angeles County, California",4224,103207,1739,578300,546,339,42,126,2202,246,06,037,400402
"Census Tract 4024.02, Los Angeles County, California",6454,53558,1502,229400,793,277,57,8,3159,323,06,037,402402
"Census Tract 4051.02, Los Angeles County, California",4218,42926,1236,250000,334,44,29,0,2160,179,06,037,405102
"Census Tract 4300.02, Los Angeles County, California",7100,59886,1676,324300,1134,452,149,55,3592,401,06,037,430002
"Census Tract 4316, Los Angeles County, California",3991,93750,1111,992000,1084,272,103,88,2024,129,06,037,431600
"Census Tract 1175.10, Los Angeles County, California",3948,35714,1220,327700,76,13,0,0,1892,260,06,037,117510
"Census Tract 1344.22, Los Angeles County, California",4993,99180,2423,508300,1010,426,59,38,2698,167,06,037,134422
"Census Tract 1417, Los Angeles County, California",3103,180833,,1036200,688,423,257,86,1795,146,06,037,141700
"Census Tract 1310.10, Los Angeles County, California",6308,41419,1231,371900,563,118,24,0,3355,367,06,037,131010
"Census Tract 9201.10, Los Angeles County, California",3534,130183,1778,594600,791,280,49,40,1966,165,06,037,920110
"Census Tract 5746.01, Los Angeles County, California",2142,-666666666,-666666666,-666666666,18,5,0,0,827,239,06,037,574601
"Census Tract 5775.01, Los Angeles County, California",3534,87179,1488,1041700,980,479,205,108,1841,227,06,037,577501
"Census Tract 4073.02, Los Angeles County, California",3905,62552,1261,308900,125,4,41,0,1877,274,06,037,407302
"Census Tract 4085.01, Los Angeles County, California",3192,57188,1531,340900,192,31,11,0,1483,105,06,037,408501
"Census Tract 4307.21, Los Angeles County, California",3480,66802,1404,654500,764,428,92,26,1653,65,06,037,430721
"Census Tract 4329.01, Los Angeles County, California",4818,58378,1191,429200,478,91,26,0,2448,209,06,037,432901
"Census Tract 4606, Los Angeles County, California",4645,150656,2630,1114600,1400,661,236,99,2083,81,06,037,460600
"Census Tract 7002, Los Angeles County, California",6785,53379,1433,560700,3688,601,156,82,5271,380,06,037,700200
"Census Tract 6013.01, Los Angeles County, California",1964,60625,1411,441600,390,138,16,33,1157,176,06,037,601301
"Census Tract 6030.04, Los Angeles County, California",1518,45611,1004,242400,315,60,3,0,841,43,06,037,603004
"Census Tract 9201.09, Los Angeles County, California",5517,104118,1921,511100,1290,524,60,80,2750,93,06,037,920109
"Census Tract 2948.10, Los Angeles County, California",4464,32953,1062,334000,65,0,0,0,1861,209,06,037,294810
"Census Tract 3007.01, Los Angeles County, California",6561,111727,1764,849600,1781,621,358,43,3446,132,06,037,300701
"Census Tract 3015.02, Los Angeles County, California",6966,40638,1401,395100,1189,315,65,23,3695,560,06,037,301502
"Census Tract 3016.01, Los Angeles County, California",6492,32639,1183,492800,699,185,72,0,3277,401,06,037,301601
"Census Tract 3021.02, Los Angeles County, California",5771,45313,1276,550500,976,436,92,134,3131,334,06,037,302102
"Census Tract 1439.02, Los Angeles County, California",3003,113939,1690,1018500,999,345,161,90,1884,222,06,037,143902
"Census Tract 1836.20, Los Angeles County, California",3325,49286,1118,489600,320,74,4,15,1827,259,06,037,183620
"Census Tract 1873, Los Angeles County, California",3152,85878,1496,689700,984,333,91,55,2106,181,06,037,187300
"Census Tract 1897.02, Los Angeles County, California",1905,76014,1748,909500,725,357,68,48,1382,105,06,037,189702
"Census Tract 1991.10, Los Angeles County, California",2500,46576,1134,322100,152,56,0,4,1277,222,06,037,199110
"Census Tract 1917.20, Los Angeles County, California",3879,22656,928,425000,279,71,12,0,2160,270,06,037,191720
"Census Tract 1972, Los Angeles County, California",3875,49451,1086,361000,388,78,18,29,2088,134,06,037,197200
"Census Tract 1999, Los Angeles County, California",2719,25571,940,395800,145,22,17,0,1172,155,06,037,199900
"Census Tract 6501.01, Los Angeles County, California",6081,89375,1440,583600,1049,319,65,62,2893,422,06,037,650101
"Census Tract 5748, Los Angeles County, California",2916,71745,1230,769500,690,317,255,36,1804,135,06,037,574800
"Census Tract 5749.02, Los Angeles County, California",4797,51815,1477,431000,756,278,56,25,2556,257,06,037,574902
"Census Tract 5751.03, Los Angeles County, California",4996,37050,1047,263500,610,147,27,10,2839,232,06,037,575103
"Census Tract 5759.02, Los Angeles County, California",4699,29768,978,173300,648,506,37,34,2607,281,06,037,575902
"Census Tract 5764.01, Los Angeles County, California",4761,27967,997,200000,42,22,0,0,1958,191,06,037,576401
"Census Tract 6002.02, Los Angeles County, California",6657,24606,954,296800,168,39,9,0,2718,436,06,037,600202
