,fold_0,fold_1,fold_2,fold_3,fold_4,mean_gain
regionidneighborhood,7.181809425354004,6.97566032409668,7.122896194458008,7.033918857574463,7.370109558105469,7.136878871917725
regionidzip__taxvaluedollarcnt__median,7.179802417755127,7.132146835327148,7.137387275695801,7.116909503936768,7.11277437210083,7.135804080963135
geo_cluster_50__bathroomcnt__mean,7.098844528198242,6.92323637008667,7.109984874725342,7.287450313568115,7.214012622833252,7.126705741882324
finishedsquarefeet15,7.035096645355225,6.954541206359863,7.050661087036133,7.332411766052246,7.202392578125,7.115020656585694
regionidcity__bathroomcnt__median,6.8238701820373535,7.070279598236084,7.408031463623047,7.014716625213623,7.253744602203369,7.114128494262696
heatingorsystemtypeid,6.949063301086426,6.970873832702637,7.002237796783447,7.312459945678711,7.2656121253967285,7.10004940032959
yearbuilt,6.922238349914551,7.019441604614258,7.0336503982543945,7.28287410736084,7.224780559539795,7.096597003936767
geo_cluster_50__lotsizesquarefeet__median,7.090550899505615,7.015329837799072,7.055572509765625,7.005894660949707,7.314439296722412,7.096357440948486
rawcensustractandblock,7.069664478302002,6.962060451507568,7.130268096923828,7.129983901977539,7.163571357727051,7.091109657287598
pooltypeid10__isna,8.437908172607422,7.419579029083252,5.913934230804443,6.362878799438477,7.320278644561768,7.090915775299072
space_efficiency,7.066431522369385,6.916738986968994,6.795422554016113,7.359889507293701,7.211311340332031,7.069958782196045
taxrate_x_land,6.685035705566406,6.8344407081604,7.0300703048706055,7.394304275512695,7.352855682373047,7.059341335296631
regionidcity__calculatedfinishedsquarefeet__mean,6.905991554260254,7.0462493896484375,7.000291347503662,7.090332984924316,7.2494049072265625,7.0584540367126465
sin_month,6.74665641784668,7.636213779449463,7.200595378875732,6.658195495605469,6.989235877990723,7.046179389953613
regionidcity__lotsizesquarefeet__median,6.959742546081543,6.964419364929199,7.016898155212402,7.042208671569824,7.195055961608887,7.0356649398803714
propertycountylandusecode__lotsizesquarefeet__median,7.070025444030762,6.807977676391602,6.934472560882568,7.157887935638428,7.128324508666992,7.019737625122071
regionidcity__taxvaluedollarcnt__median,6.893615245819092,6.930505275726318,6.977696895599365,7.117708683013916,7.15984582901001,7.01587438583374
home_age,6.986591815948486,6.810060501098633,6.936594486236572,7.103631496429443,7.2001142501831055,7.007398509979248
yardbuildingsqft17,7.064517974853516,6.77134895324707,7.239867210388184,7.0994343757629395,6.861257553100586,7.007285213470459
regionidcity__bathroomcnt__mean,7.002904891967773,6.826439380645752,6.89774751663208,7.0257744789123535,7.146853446960449,6.979943943023682
land_ratio,6.808844566345215,6.797779083251953,7.0242390632629395,7.120680809020996,7.132503986358643,6.976809501647949
structuretaxvaluedollarcnt,6.883355140686035,6.833919048309326,6.878455638885498,7.225416660308838,7.039379119873047,6.9721051216125485
trans_year,6.588161945343018,5.908915996551514,6.956821441650391,7.966844081878662,7.4388909339904785,6.971926879882813
assessmentyear,6.532028675079346,6.574594020843506,7.177206516265869,7.349724292755127,7.222709655761719,6.9712526321411135
regionidzip__lotsizesquarefeet__median,7.013922691345215,6.941057205200195,6.880775451660156,7.018637180328369,7.000260829925537,6.970930671691894
garagetotalsqft,6.848943710327148,6.843050479888916,7.009558200836182,7.354482173919678,6.790070056915283,6.969220924377441
regionidcity__lotsizesquarefeet__mean,7.0229878425598145,6.806869983673096,7.056856632232666,6.83905029296875,7.112242221832275,6.96760139465332
geo_cluster_50__calculatedfinishedsquarefeet__median,6.985231876373291,6.796964645385742,6.977236747741699,6.956980228424072,7.09824275970459,6.9629312515258786
regionidcity,6.881892681121826,6.861753940582275,6.889065742492676,7.156182765960693,6.998382568359375,6.9574555397033695
regionidcity__bedroomcnt__mean,6.921319961547852,6.81284761428833,6.944688320159912,7.070070743560791,7.027100086212158,6.955205345153809
regionidcity__calculatedfinishedsquarefeet__median,6.922117233276367,6.82949686050415,7.058148384094238,6.978880405426025,6.981432914733887,6.954015159606934
lat,6.873251914978027,6.9018731117248535,6.9783220291137695,6.944939136505127,7.070309162139893,6.953739070892334
regionidzip__calculatedfinishedsquarefeet__median,6.912542819976807,6.869749069213867,6.846805095672607,6.963166236877441,7.1242218017578125,6.943297004699707
regionidzip__calculatedfinishedsquarefeet__mean,6.88648796081543,6.886600971221924,6.874704837799072,6.935426235198975,7.078815460205078,6.932407093048096
decktypeid__isna,6.501246452331543,5.700357437133789,10.176898956298828,5.824622631072998,6.444221019744873,6.929469299316406
propertycountylandusecode__taxvaluedollarcnt__mean,6.809812545776367,6.723971366882324,6.992434978485107,6.829662322998047,7.280645370483398,6.9273053169250485
propertycountylandusecode__lotsizesquarefeet__mean,6.914253234863281,6.850397109985352,6.846811294555664,6.911478042602539,7.07798957824707,6.920185852050781
fireplacecnt,6.981860160827637,6.989983081817627,6.65897798538208,6.702314853668213,7.255417823791504,6.917710781097412
taxvaluedollarcnt,6.856270790100098,6.793220043182373,6.864219665527344,7.031805515289307,7.0384321212768555,6.916789627075195
rooms_per_1k_sqft,6.877807140350342,6.923930644989014,6.875897407531738,6.940922737121582,6.962120056152344,6.916135597229004
regionidzip__bathroomcnt__median,6.969162464141846,6.390816688537598,6.644100666046143,7.359493255615234,7.184452056884766,6.909605026245117
lotsizesquarefeet,6.875240802764893,6.796485900878906,6.7997565269470215,7.013120174407959,7.0428571701049805,6.905492115020752
numberofstories,6.740060806274414,6.688308238983154,6.7598443031311035,7.0704779624938965,7.200220108032227,6.891782283782959
regionidzip__bathroomcnt__mean,6.875805854797363,6.810064792633057,6.837916374206543,6.929394245147705,6.988794803619385,6.888395214080811
regionidzip__lotsizesquarefeet__mean,6.774388313293457,6.913894176483154,6.832118988037109,6.876622676849365,6.981822490692139,6.875769329071045
lon,6.73666524887085,6.966470241546631,6.841058731079102,6.805551052093506,6.995400905609131,6.869029235839844
lot_to_building,6.797670364379883,6.769506454467773,6.844936370849609,6.867946147918701,7.051828861236572,6.866377639770508
landtaxvaluedollarcnt,6.796614646911621,6.811010360717773,6.868432998657227,6.905945301055908,6.904895305633545,6.857379722595215
geo_cluster_50__bathroomcnt__median,7.423954963684082,6.9790449142456055,6.349294185638428,6.925588130950928,6.595874309539795,6.854751300811768
geo_cluster_50__lotsizesquarefeet__mean,6.740082263946533,6.770079135894775,6.915917873382568,6.753983974456787,7.083726406097412,6.852757930755615
dist_la_cbd_km,6.890271186828613,6.738149642944336,6.759253978729248,6.896862030029297,6.9413981437683105,6.845186996459961
bath_per_bed,6.735645771026611,6.736208915710449,6.717782974243164,6.933790683746338,7.069150447845459,6.838515758514404
geo_cluster_20,6.838655948638916,6.821646690368652,6.752238750457764,6.862339019775391,6.914435386657715,6.837863159179688
taxrate_x_structure,6.8818440437316895,6.618427276611328,6.802173614501953,6.783831596374512,6.846766471862793,6.786608600616455
geo_cluster_50,6.853776454925537,6.6699934005737305,6.710814952850342,6.745415687561035,6.927919864654541,6.781584072113037
geo_cluster_50__bedroomcnt__mean,6.715426445007324,6.641288757324219,6.856183052062988,6.715240955352783,6.936928749084473,6.773013591766357
y,6.747468948364258,6.704242706298828,6.739948749542236,6.754228591918945,6.853920936584473,6.759961986541748
latitude,6.731845378875732,6.785217761993408,6.644857406616211,6.778970241546631,6.782686233520508,6.744715404510498
non_null_count,6.566781997680664,6.900278568267822,6.596121788024902,7.067018985748291,6.584349155426025,6.742910099029541
regionidzip__bedroomcnt__mean,6.703341960906982,6.615015983581543,6.7304816246032715,6.795124053955078,6.805237293243408,6.729840183258057
grid_density,6.686587333679199,6.648651123046875,6.69873046875,6.775593280792236,6.827870845794678,6.727486610412598
x,6.646707534790039,6.704725742340088,6.668274879455566,6.910223484039307,6.6902055740356445,6.724027442932129
airconditioningtypeid,6.591575622558594,6.584321975708008,6.868127346038818,6.637832164764404,6.89589786529541,6.7155509948730465
garagecarcnt,6.327996253967285,6.703221321105957,6.6026177406311035,6.955833435058594,6.929508686065674,6.703835487365723
regionidneighborhood__isna,7.138099193572998,6.570343971252441,7.283005714416504,6.225998401641846,6.2560343742370605,6.69469633102417
finishedfloor1squarefeet,6.714600563049316,6.511090278625488,6.73654842376709,6.542919635772705,6.933474063873291,6.687726593017578
propertycountylandusecode__taxvaluedollarcnt__median,6.651591777801514,6.619457244873047,6.519054412841797,6.791371822357178,6.718433380126953,6.659981727600098
structure_ratio,6.6161909103393555,6.496490955352783,6.620255470275879,6.766232013702393,6.757235050201416,6.651280879974365
longitude,6.584005832672119,6.600839138031006,6.660375118255615,6.693940162658691,6.670948505401611,6.642021751403808
roomcnt,6.639583110809326,6.738071918487549,6.351773738861084,6.686234951019287,6.721046447753906,6.62734203338623
finishedsquarefeet6,6.309234142303467,6.623395919799805,6.472405910491943,7.141848087310791,6.497758865356445,6.608928585052491
dist_regionidcity_centroid_km,6.522156238555908,6.500174045562744,6.561636447906494,6.723634243011475,6.698763370513916,6.601272869110107
missing_frac,6.492776393890381,6.670599460601807,6.517084121704102,6.724853038787842,6.555837631225586,6.592230129241943
poolsizesum,6.2885966300964355,6.31270170211792,7.111549377441406,6.620765209197998,6.593604564666748,6.585443496704102
fireplacecnt__isna,6.643988132476807,6.614858150482178,6.316549777984619,6.118768692016602,6.919273853302002,6.522687721252441
data_quality_score,6.839263916015625,6.217282772064209,6.305544853210449,6.839818000793457,6.335322856903076,6.5074464797973635
dist_regionidzip_centroid_km,6.485278129577637,6.4366044998168945,6.5135579109191895,6.525106430053711,6.570242881774902,6.506157970428466
sqft_per_room,6.440891742706299,6.486813068389893,6.442562580108643,6.483370780944824,6.566125392913818,6.4839527130126955
buildingqualitytypeid,6.349083423614502,6.434165000915527,6.33677339553833,6.442105770111084,6.478892803192139,6.408204078674316
airconditioningtypeid__isna,6.3686909675598145,6.1261138916015625,6.397325038909912,6.594492435455322,6.522558689117432,6.401836204528808
pooltypeid10,6.063901901245117,6.702739715576172,6.579803466796875,6.496475696563721,5.9503350257873535,6.358651161193848
typeconstructiontypeid,6.683246612548828,6.63165807723999,5.49714469909668,6.899240016937256,5.930522918701172,6.328362464904785
decktypeid,6.122532844543457,6.383460998535156,6.412730693817139,6.53518009185791,6.1745734214782715,6.325695610046386
threequarterbathnbr__isna,6.418882369995117,6.223004341125488,6.235522270202637,6.44990873336792,5.49796199798584,6.165055942535401
threequarterbathnbr,6.22913932800293,6.07811975479126,6.1972737312316895,5.966942310333252,5.978549480438232,6.090004920959473
fireplaceflag,5.984259128570557,6.4613261222839355,5.187839984893799,6.375160217285156,4.913882255554199,5.784493541717529
lotsizesquarefeet__isna,6.510863304138184,5.277472019195557,6.049160480499268,6.178083419799805,4.800110816955566,5.763138008117676
architecturalstyletypeid,5.242186546325684,6.600827217102051,5.299276828765869,5.650865077972412,5.4799418449401855,5.65461950302124
buildingqualitytypeid__isna,6.872631072998047,3.2391929626464844,5.59938907623291,5.316532135009766,6.947077751159668,5.594964599609375
propertyzoningdesc__isna,4.138078212738037,4.974310398101807,7.47562313079834,5.5979108810424805,5.013632774353027,5.4399110794067385
fireplaceflag__isna,6.56051778793335,6.5769829750061035,5.322301387786865,5.923635959625244,0.0,4.876687622070312
garagecarcnt__isna,3.5986099243164062,5.985611915588379,0.0,6.577312469482422,6.414863586425781,4.5152795791625975
unitcnt__isna,5.801904678344727,1.9683442115783691,0.0,5.971834182739258,8.11014461517334,4.3704455375671385
regionidcounty,7.338628768920898,0.0,0.0,7.471165180206299,6.4769606590271,4.257350921630859
architecturalstyletypeid__isna,0.0,6.497268199920654,4.74488639831543,7.359706878662109,0.0,3.7203722953796388
typeconstructiontypeid__isna,0.0,5.552520751953125,0.0,6.21093225479126,5.933637619018555,3.539418125152588
structuretaxvaluedollarcnt__isna,0.0,6.402354717254639,10.893529891967773,0.0,0.0,3.4591769218444823
yardbuildingsqft26,0.0,5.4916768074035645,5.295319080352783,5.309536933898926,0.0,3.2193065643310548
yardbuildingsqft26__isna,0.0,5.680093288421631,4.6987385749816895,5.0709052085876465,0.0,3.0899474143981935
fips,0.0,0.0,8.545639991760254,0.0,2.0350818634033203,2.116144371032715
calculatedbathnbr__isna,0.0,0.0,0.0,9.695035934448242,0.0,1.9390071868896483
yearbuilt__isna,0.0,0.0,0.0,5.95975399017334,0.0,1.191950798034668
regionidcity__isna,4.337213516235352,0.0,0.0,0.0,0.0,0.8674427032470703
