number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_border_count,params_depth,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,params_rsm,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
24,0.059607127767697846,2025-08-29 04:30:37.743347,2025-08-29 04:31:46.028056,0 days 00:01:08.284709,0.949304947336082,Bayesian,83,7,11.097494312523104,6,0.02006302224760385,0.3246038296907769,0.9035549368056498,,0.06059618452934488,,COMPLETE
25,0.06067757084839982,2025-08-29 04:31:46.053126,2025-08-29 04:32:14.924899,0 days 00:00:28.871773,0.9579277117653029,Bayesian,74,7,29.910656575932844,4,0.05427602573750289,0.21286709937319281,0.9379855592313984,,0.058028854969798,0.06067757084839982,PRUNED
26,0.060708925237480615,2025-08-29 04:32:14.946274,2025-08-29 04:33:18.622858,0 days 00:01:03.676584,,Bernoulli,65,8,53.368144092555,2,0.004914832527554316,0.11377110945616775,0.6332429537787313,0.7957588354978627,0.060708925237480615,,PRUNED
27,0.06061117010465543,2025-08-29 04:33:18.649941,2025-08-29 04:33:51.045018,0 days 00:00:32.395077,0.6552901187497724,Bayesian,37,8,6.004512593291221,6,0.04281178909993547,0.6927909443433917,0.7965695372507688,,0.06061117010465543,,PRUNED
28,0.06064544054642142,2025-08-29 04:33:51.069332,2025-08-29 04:35:03.491100,0 days 00:01:12.421768,,MVS,164,8,84.99990725047456,2,0.007379158654826577,0.16834884194493402,0.5601094302059343,,0.06064544054642142,,PRUNED
29,0.059586146206380045,2025-08-29 04:35:03.516051,2025-08-29 04:36:05.340016,0 days 00:01:01.823965,0.9908116071627444,Bayesian,137,6,3.69025165264224,6,0.0245774737549794,0.6561237952283231,0.9196989522099964,,0.060576910503204,,COMPLETE
30,0.0595921568302243,2025-08-29 04:36:05.368389,2025-08-29 04:36:53.611352,0 days 00:00:48.242963,0.5992436224127611,Bayesian,157,5,11.45892703669195,8,0.04409412899992952,0.729144242596543,0.8588714511282686,,0.05802177724755896,0.06060402089821828,COMPLETE
31,0.05812167921072726,2025-08-29 04:36:53.635331,2025-08-29 04:37:12.877064,0 days 00:00:19.241733,0.6302575856047076,Bayesian,92,4,0.5218274339784527,6,0.02302395654575396,0.8188727026508809,0.9699121898219746,,0.05812167921072726,,PRUNED
32,0.059620665664089,2025-08-29 04:37:12.900176,2025-08-29 04:38:35.114201,0 days 00:01:22.214025,0.4541979199859365,Bayesian,186,7,77.01964417329201,8,0.014023362311622245,0.8495122883262939,0.8877610810582532,,0.058060360663103994,0.06060121258883999,COMPLETE
33,0.05961424549512995,2025-08-29 04:38:35.140783,2025-08-29 04:39:27.019138,0 days 00:00:51.878355,,Bernoulli,181,5,4.837396266734777,10,0.028802099934472733,0.7944898142751513,0.8471368599008131,0.822024006929415,0.058029457702909876,0.06059917328091901,COMPLETE
34,0.05809587213460422,2025-08-29 04:39:27.043837,2025-08-29 04:39:49.066666,0 days 00:00:22.022829,0.9992934770837724,Bayesian,205,5,0.9354272729833301,6,0.02185719760414796,0.49173158362219704,0.9199115959921367,,0.05809587213460422,,PRUNED
35,0.05826824373157955,2025-08-29 04:39:49.094780,2025-08-29 04:40:09.745603,0 days 00:00:20.650823,0.7541840971841983,Bayesian,128,4,11.493963989619033,10,0.010926853665019172,0.7323629455060698,0.9083932782257332,,0.05826824373157955,,PRUNED
36,0.06064428924015167,2025-08-29 04:40:09.772155,2025-08-29 04:40:27.495524,0 days 00:00:17.723369,,MVS,40,7,87.54083857417965,3,0.09330879381245481,0.36080412329625206,0.798758820031317,,0.06064428924015167,,PRUNED
37,0.06060714570785479,2025-08-29 04:40:27.518454,2025-08-29 04:41:06.755997,0 days 00:00:39.237543,0.7187735615371107,Bayesian,159,4,40.85909121704192,7,0.04083962964458009,0.8613636398898604,0.7556333032499178,,0.05803305391379928,0.06060714570785479,PRUNED
38,0.06061167143442254,2025-08-29 04:41:06.780905,2025-08-29 04:42:02.544017,0 days 00:00:55.763112,,MVS,122,7,4.452249728252757,5,0.022035632992255357,0.6497479158559382,0.8284336141917998,,0.05800664656984485,0.06061167143442254,PRUNED
39,0.05810224510480855,2025-08-29 04:42:02.568669,2025-08-29 04:42:42.132374,0 days 00:00:39.563705,,MVS,79,10,10.632792753370191,3,0.018256355745806797,0.12303367500648914,0.677464375499557,,0.05810224510480855,,PRUNED
40,0.05808545147288054,2025-08-29 04:42:42.157662,2025-08-29 04:42:48.419449,0 days 00:00:06.261787,0.3438384146856396,Bayesian,215,4,18.18032789915406,9,0.1811498682400852,0.8052932839119434,0.8529600125176441,,0.05808545147288054,,PRUNED
41,0.060653173465940416,2025-08-29 04:42:48.443254,2025-08-29 04:43:02.447386,0 days 00:00:14.004132,,Bernoulli,129,5,48.09203551116243,7,0.1590500647971259,0.683468006945025,0.8504714713019953,0.7006273828787117,0.060653173465940416,,PRUNED
42,0.05809728386064818,2025-08-29 04:43:02.471199,2025-08-29 04:43:12.788735,0 days 00:00:10.317536,0.9669425588063665,Bayesian,145,7,3.463566056186666,5,0.07840303484607763,0.6137444015597944,0.9097586305882432,,0.05809728386064818,,PRUNED
43,0.05808254533737044,2025-08-29 04:43:12.811983,2025-08-29 04:43:36.739113,0 days 00:00:23.927130,0.9724508855035779,Bayesian,94,6,3.2920262010115438,6,0.02050421909150181,0.5324626387255248,0.8767111946741241,,0.05808254533737044,,PRUNED
44,0.06064639458572745,2025-08-29 04:43:36.761262,2025-08-29 04:44:46.882642,0 days 00:01:10.121380,0.8030594873963309,Bayesian,119,8,0.7365203990097842,5,0.008409906632506434,0.2667965292978742,0.9740409280620973,,0.06064639458572745,,PRUNED
45,0.05820104068053224,2025-08-29 04:44:46.910748,2025-08-29 04:45:15.979472,0 days 00:00:29.068724,0.977792532895476,Bayesian,71,7,9.269189716435188,10,0.006083096287687122,0.4235601450676122,0.8508668651973467,,0.05820104068053224,,PRUNED
