iter	Passed	Remaining
615	109255	954921
616	109439	954797
617	109609	954560
618	109805	954545
619	109976	954308
620	110153	954135
621	110337	954015
622	110508	953781
623	110705	953771
624	110913	953855
625	111114	953877
626	111315	953908
627	111517	953935
628	111685	953681
629	111827	953199
630	112027	953206
631	112212	953095
632	112411	953098
633	112590	952935
634	112759	952686
635	112935	952490
636	113088	952106
637	113265	951928
638	113416	951527
639	113601	951410
640	113764	951116
641	113923	950779
642	114080	950432
643	114260	950274
644	114443	950150
645	114633	950074
646	114800	949812
647	114981	949663
648	115174	949616
649	115330	949262
650	115474	948808
651	115666	948749
652	115815	948336
653	115979	948053
654	116154	947859
655	116340	947751
656	116494	947381
657	116672	947211
658	116819	946789
659	117012	946738
660	117196	946617
661	117369	946405
662	117514	945967
663	117700	945857
664	117872	945641
665	118048	945451
666	118206	945124
667	118363	944780
668	118534	944557
669	118712	944385
670	118856	943942
671	119018	943644
672	119191	943437
673	119375	943313
674	119543	943067
675	119712	942827
676	119887	942633
677	120044	942295
678	120237	942240
679	120418	942098
680	120578	941787
681	120766	941691
682	120931	941427
683	121105	941220
684	121292	941126
685	121464	940910
686	121598	940393
687	121808	940477
688	121984	940291
689	122154	940057
690	122328	939858
691	122507	939698
692	122678	939475
693	122837	939158
694	123024	939058
695	123194	938823
696	123447	939228
697	123614	938974
698	123792	938802
699	123984	938742
700	124166	938598
701	124335	938360
702	124503	938114
703	124670	937864
704	124827	937537
705	125015	937442
706	125193	937270
707	125373	937116
708	125559	937001
709	125693	936508
710	125890	936474
711	126078	936379
712	126275	936349
713	126439	936074
714	126635	936037
715	126828	935981
716	127011	935843
717	127257	936176
718	127440	936041
719	127610	935811
720	127810	935800
721	127971	935506
722	128142	935277
723	128311	935040
724	128458	934644
725	128659	934643
726	128813	934299
727	129011	934268
728	129213	934272
729	129374	933977
730	129541	933724
731	129742	933722
732	129939	933682
733	130127	933585
734	130303	933402
735	130464	933101
736	130667	933109
737	130835	932864
738	131027	932795
739	131224	932757
740	131366	932327
741	131517	931966
742	131716	931941
743	131912	931899
744	132096	931764
745	132273	931590
746	132455	931446
747	132644	931346
748	132816	931131
749	132990	930930
750	133178	930833
751	133358	930674
752	133522	930404
753	133696	930202
754	133844	929821
755	134025	929671
756	134207	929525
757	134388	929370
758	134585	929330
759	134755	929101
760	134940	928976
761	135101	928687
762	135289	928583
763	135464	928392
764	135623	928088
765	135807	927958
766	136004	927918
767	136169	927656
768	136336	927407
769	136491	927080
770	136666	926888
771	136852	926764
772	137018	926517
773	137187	926280
774	137358	926061
775	137539	925908
776	137707	925671
777	137869	925393
778	138051	925247
779	138210	924948
780	138386	924762
781	138550	924495
782	138723	924290
783	138893	924067
784	139077	923935
785	139228	923582
786	139398	923361
787	139561	923086
788	139733	922875
789	139899	922628
790	140067	922392
791	140236	922159
792	140396	921869
793	140578	921726
794	140774	921676
795	140923	921314
796	141091	921079
797	141255	920816
798	141433	920648
799	141613	920485
800	141785	920280
801	141965	920122
802	142141	919934
803	142315	919741
804	142509	919670
805	142703	919606
806	142886	919466
807	143059	919260
808	143229	919040
809	143401	918834
810	143563	918561
811	143744	918405
812	143923	918239
813	144121	918197
814	144275	917877
815	144449	917676
816	144620	917462
817	144808	917356
818	145032	917475
819	145216	917340
820	145404	917232
821	145608	917225
822	145821	917277
823	146011	917176
824	146172	916902
825	146340	916665
826	146493	916338
827	146671	916168
828	146831	915881
829	147004	915680
830	147174	915460
831	147348	915258
832	147527	915093
833	147698	914880
834	147845	914515
835	148008	914252
836	148185	914077
837	148387	914050
838	148542	913739
839	148749	913746
840	148901	913414
841	149057	913109
842	149231	912912
843	149394	912653
844	149548	912332
845	149706	912043
846	149869	911781
847	150033	911526
848	150197	911271
849	150402	911259
850	150560	910971
851	150734	910778
852	150893	910489
853	151052	910207
854	151214	909940
855	151357	909556
856	151532	909373
857	151702	909154
858	151874	908951
859	152035	908676
860	152213	908505
861	152379	908265
862	152544	908021
863	152720	907838
864	152903	907698
865	153088	907569
866	153272	907434
867	153431	907157
868	153567	906737
869	153753	906618
870	153921	906390
871	154145	906488
872	154314	906263
873	154475	905994
874	154626	905667
875	154786	905393
876	154940	905084
877	155129	904978
878	155306	904803
879	155486	904647
880	155691	904634
881	155884	904555
882	156071	904439
883	156241	904223
884	156405	903972
885	156571	903732
886	156730	903450
887	156891	903187
888	157072	903033
889	157246	902844
890	157424	902671
891	157601	902496
892	157770	902275
893	157916	901928
894	158055	901536
895	158239	901398
896	158422	901260
897	158610	901146
898	158762	900830
899	158940	900661
900	159103	900411
901	159276	900214
902	159437	899949
903	159609	899745
904	159790	899593
905	159935	899240
906	160114	899076
907	160303	898968
908	160464	898709
909	160628	898463
910	160787	898183
911	160941	897884
912	161105	897636
913	161240	897230
914	161412	897030
915	161602	896927
916	161743	896555
917	161906	896308
918	162069	896053
919	162237	895835
920	162385	895499
921	162550	895261
922	162707	894980
923	162864	894695
924	163026	894443
925	163181	894152
926	163333	893839
927	163501	893619
928	163671	893411
929	163845	893223
930	164015	893010
931	164160	892666
932	164330	892458
933	164499	892242
934	164661	891989
935	164849	891876
936	165029	891723
937	165191	891471
938	165371	891317
939	165525	891020
940	165696	890817
941	165844	890492
942	165999	890200
943	166155	889915
944	166324	889704
945	166496	889504
946	166662	889277
947	166793	888862
948	166955	888612
949	167145	888511
950	167298	888214
951	167471	888018
952	167628	887743
953	167808	887588
954	167958	887279
955	168130	887081
956	168299	886870
957	168470	886666
958	168629	886406
959	168799	886197
960	168969	885988
961	169117	885670
962	169302	885541
963	169466	885306
964	169641	885123
965	169813	884929
966	169986	884737
967	170163	884570
968	170321	884299
969	170485	884064
970	170654	883855
971	170834	883698
972	170993	883439
973	171191	883374
974	171356	883143
975	171493	882768
976	171667	882584
977	171817	882277
978	171979	882032
979	172137	881767
980	172291	881478
981	172491	881427
982	172736	881605
983	172900	881371
984	173064	881137
985	173233	880924
986	173408	880746
987	173572	880511
988	173753	880363
989	173909	880084
990	174050	879734
991	174215	879508
992	174380	879279
993	174584	879245
994	174773	879139
995	174951	878974
996	175148	878905
997	175327	878746
998	175476	878436
999	175674	878371
1000	175846	878179
1001	176010	877944
1002	176162	877649
1003	176351	877541
1004	176552	877493
1005	176754	877445
1006	176954	877390
1007	177140	877269
1008	177304	877033
1009	177472	876817
1010	177663	876717
1011	177832	876509
1012	178010	876345
1013	178174	876112
1014	178357	875971
1015	178515	875708
1016	178689	875523
1017	178857	875311
1018	179027	875107
1019	179191	874874
1020	179347	874605
1021	179518	874405
1022	179685	874186
1023	179893	874169
1024	180068	873991
1025	180233	873765
1026	180410	873596
1027	180560	873295
1028	180706	872977
1029	180872	872754
1030	181037	872528
1031	181180	872196
1032	181343	871960
1033	181503	871706
1034	181674	871512
1035	181837	871274
1036	182005	871062
1037	182164	870807
1038	182341	870642
1039	182524	870500
1040	182677	870216
1041	182825	869911
1042	182994	869705
1043	183159	869482
1044	183331	869290
1045	183481	868992
1046	183670	868881
1047	183830	868635
1048	184000	868431
1049	184164	868202
1050	184321	867941
1051	184482	867698
1052	184632	867406
1053	184796	867176
1054	184958	866937
1055	185133	866763
1056	185304	866564
1057	185463	866315
1058	185628	866092
1059	185819	865989
1060	185971	865706
1061	186147	865531
1062	186314	865317
1063	186488	865139
1064	186654	864919
1065	186823	864714
1066	186991	864507
1067	187155	864279
1068	187323	864071
1069	187472	863775
1070	187647	863599
1071	187819	863407
1072	187977	863153
1073	188142	862934
1074	188332	862824
1075	188494	862590
1076	188647	862313
1077	188844	862237
1078	189016	862047
1079	189183	861835
1080	189341	861581
1081	189504	861353
1082	189684	861197
1083	189839	860934
1084	190034	860847
1085	190229	860760
1086	190398	860558
1087	190587	860444
1088	190732	860136
1089	190904	859945
1090	191097	859852
1091	191256	859602
1092	191451	859516
1093	191622	859324
1094	191782	859081
1095	191963	858932
1096	192132	858728
1097	192314	858584
1098	192543	858647
1099	192806	858867
1100	192981	858690
1101	193171	858578
1102	193359	858458
1103	193567	858428
1104	193727	858186
1105	193912	858056
1106	194114	857997
1107	194319	857951
1108	194483	857727
1109	194654	857533
1110	194851	857450
1111	195040	857337
1112	195203	857104
1113	195384	856955
1114	195544	856711
