iter	MAE
0	0.06089942104
1	0.06088149272
2	0.06086337327
3	0.06084717321
4	0.06083039134
5	0.06081693149
6	0.06080255952
7	0.06078917688
8	0.06077641935
9	0.06076294545
10	0.06075131255
11	0.06073927222
12	0.06072715806
13	0.06071516702
14	0.06070224524
15	0.06068931891
16	0.06067731401
17	0.06066616898
18	0.06065611827
19	0.06064789579
20	0.06063853469
21	0.06062924115
22	0.06061757921
23	0.0606085095
24	0.06059873914
25	0.0605905239
26	0.06058117561
27	0.06057065884
28	0.06056168878
29	0.06055322333
30	0.06054346572
31	0.06053635505
32	0.06052619925
33	0.06051788447
34	0.06051009916
35	0.06050278843
36	0.06049536232
37	0.06048846369
38	0.06048075886
39	0.06047392391
40	0.06046720058
41	0.06045974106
42	0.06045267146
43	0.06044501612
44	0.06043764019
45	0.06043095053
46	0.0604243028
47	0.06041696076
48	0.0604106452
49	0.06040581972
50	0.0603978076
51	0.06039340836
52	0.06038800398
53	0.06038371326
54	0.06037821006
55	0.06037184368
56	0.0603663204
57	0.0603604171
58	0.06035551813
59	0.06035123218
60	0.06034674693
61	0.06034109376
62	0.06033798139
63	0.06033327504
64	0.0603274392
65	0.06032350777
66	0.06031730797
67	0.06031309525
68	0.06030926172
69	0.06030516521
70	0.06030107681
71	0.06029695924
72	0.06029189926
73	0.06028810889
74	0.06028322342
75	0.06027999425
76	0.06027558884
77	0.06027064181
78	0.06026665335
79	0.0602609543
80	0.06025620176
81	0.06025305801
82	0.06025006653
83	0.06024591503
84	0.06024188066
85	0.06023783352
86	0.06023409617
87	0.06022999035
88	0.06022658515
89	0.06022179205
90	0.06021811239
91	0.06021567548
92	0.06021278748
93	0.06020790031
94	0.06020474005
95	0.06020027125
96	0.06019646358
97	0.06019218088
98	0.06018869359
99	0.06018378586
100	0.06018014684
101	0.0601777713
102	0.06017451045
103	0.06017151555
104	0.06016741291
105	0.06016469282
106	0.06016002691
107	0.06015712331
108	0.06015227943
109	0.06014982663
110	0.06014772716
111	0.0601445265
112	0.06014231511
113	0.06013955899
114	0.06013657637
115	0.06013243782
116	0.06012929796
117	0.06012637814
118	0.06012363473
119	0.06012101964
120	0.06011785946
121	0.06011478244
122	0.06011120128
123	0.06010835128
